"","Station","median","igr","gmean","p90","nlog","median_ml","iqr_ml","gmean_ml","p90_ml","nlog_ml"
"1","WI010.70",33,99.75,37.4405838036133,164,28,33,99.75,35.8508086546595,164,28
"2","WI015.00",2,0,3.10836361797937,16.8,49,0.625918487389593,1.39455908620906,1.50574798490624,16.8,49
"3","WI017.00",2,6,5.4603668820359,56,31,2,7.38663360398693,3.3252721439141,56,31
"4","WI017.50",2,4,4.11677356481872,29,49,0.637686052147675,5.38901271983532,2.19667083354347,29,49
"5","WI019.00",2,9.5,6.04302554350986,52.8000000000001,30,2,10.5271234238626,4.40395703603632,52.8000000000001,30
"6","WI020.00",2.8,12.5,6.44769886123199,73.6,30,2.8,13.8869899093595,4.5109166076272,73.6,30
"7","WI025.00",4,18,6.50076232912344,44,51,4,19.3849512079833,4.07967556947778,44,51
"8","WI026.00",2,12,5.31498038273219,35.3,30,2,13.3740369503037,3.44428877800429,35.3,30
"9","WI027.00",2,4,4.2604236696042,38.6,37,2,5.37912439020143,2.72750870888982,38.6,37
"10","WI028.50",2,2,3.86327716462755,14.8,35,0.629469255496438,3.39464541586584,1.83057150676426,14.8,35
"11","WI029.00",2,2,3.5149717929377,11,36,0.628215731307072,3.39602600486768,1.86231143160839,11,36
"12","WI030.00",2,15,6.14930862960999,62,71,2,16.3742268624539,3.93275876680468,62,71
"13","WI033.00",2,5.3,4.04997548768073,27,45,0.62915824194635,6.6894594383161,2.09443187195348,27,45
"14","WI034.10",2,0.4,3.3590943719335,15.4,44,0.641146369882072,1.78945570521682,1.76366571849137,15.4,44
"15","WI036.00",2,4,4.01925708228099,12.8,29,2,5.36409285297071,2.5813862403239,12.8,29
"16","WI038.00",2,26.075,7.27635741519337,164.000000000001,30,2,27.4623875865163,4.34490852427399,164.000000000001,30
"17","WI040.00",3,7.775,4.58051848267881,14.1,30,3,9.16280263708931,2.74471767426128,14.1,30
"18","WI041.00",6,32,8.72294164334813,55.6,29,6,33.3729253158425,5.82230418416656,55.6,29
"19","WI048.00",6,27,10.3806914968887,102,61,6,27,8.0641923272264,102,61
"20","WI051.00",4,12,6.3038046129677,41.8,41,4,13.3800880703492,4.19286410257779,41.8,41
"21","WI051.50",5,13.75,6.18069218777553,26.8,34,5,14.7722879214087,4.52027070582701,26.8,34
"22","WI053.00",2,5.3,4.0519393773428,18.8,67,2,6.683786686208,2.51347994186394,18.8,67
"23","WI054.00",2,8,4.42446120235999,16,61,2,9.38191923360726,2.72404192971207,16,61
"24","WI055.00",2,13.5,6.32821101162136,55.6,59,2,14.8940769853337,3.88636869587594,55.6,59
"25","WI055.20",11.5,21.1,10.6720377825712,104.8,30,11.5,21.1,8.41124245609598,104.8,30
