SDate,STime,SDateTime,Station,GROW_AREA,OpenClosed,WDIR,Tide,Class,CATEGORY,Temp,Sal,ColiScore,RawColi,YEAR,LCFlag,RCFlag,ColiVal
2019-08-26,10:31:00,2019-08-26T10:31:00Z,WL103.00,WL,O,,E,A,A,18,31,1.9,<2,2019,TRUE,FALSE,2
2019-08-05,14:47:00,2019-08-05T14:47:00Z,WL103.00,WL,O,,H,A,A,20,32,6,6,2019,FALSE,FALSE,6
2019-07-24,18:50:00,2019-07-24T18:50:00Z,WL103.00,WL,O,,E,A,A,23,31,44,44,2019,FALSE,FALSE,44
2019-06-12,10:34:00,2019-06-12T10:34:00Z,WL103.00,WL,O,,E,A,A,18,25,1.9,<2,2019,TRUE,FALSE,2
2019-05-13,17:16:00,2019-05-13T17:16:00Z,WL103.00,WL,O,,F,A,A,9,32,1.9,<2,2019,TRUE,FALSE,2
2019-04-02,12:15:00,2019-04-02T12:15:00Z,WL103.00,WL,O,,E,A,A,3,28,1.9,<2,2019,TRUE,FALSE,2
2018-08-20,09:10:00,2018-08-20T09:10:00Z,WL103.00,WL,O,CL,E,A,A,17,29,1.9,<2,2018,TRUE,FALSE,2
2018-08-01,17:39:00,2018-08-01T17:39:00Z,WL103.00,WL,O,CL,E,A,A,16,33,1.9,<2,2018,TRUE,FALSE,2
2018-06-18,16:48:00,2018-06-18T16:48:00Z,WL103.00,WL,O,E,HE,A,A,13,32,1.9,<2,2018,TRUE,FALSE,2
2018-05-08,18:16:00,2018-05-08T18:16:00Z,WL103.00,WL,O,SW,H,A,A,10,24,1.9,<2,2018,TRUE,FALSE,2
2018-04-24,09:40:00,2018-04-24T09:40:00Z,WL103.00,WL,O,S,E,A,A,7,29,1.9,<2,2018,TRUE,FALSE,2
2018-04-09,09:20:00,2018-04-09T09:20:00Z,WL103.00,WL,O,NW,E,A,A,3,28,1.9,<2,2018,TRUE,FALSE,2
2017-12-18,13:40:00,2017-12-18T13:40:00Z,WL103.00,WL,O,S,E,A,A,-1,30,1.9,<2,2017,TRUE,FALSE,2
2017-11-29,10:43:00,2017-11-29T10:43:00Z,WL103.00,WL,O,SW,E,A,A,5,30,1.9,<2,2017,TRUE,FALSE,2
2017-08-22,12:35:00,2017-08-22T12:35:00Z,WL103.00,WL,O,SW,HE,A,A,17,33,1.9,<2,2017,TRUE,FALSE,2
2017-07-24,15:22:00,2017-07-24T15:22:00Z,WL103.00,WL,O,CL,E,A,A,12,30,1.9,<2,2017,TRUE,FALSE,2
2017-06-13,15:49:00,2017-06-13T15:49:00Z,WL103.00,WL,O,CL,HE,A,A,20,28,1.9,<2,2017,TRUE,FALSE,2
2017-04-05,08:22:00,2017-04-05T08:22:00Z,WL103.00,WL,O,CL,E,A,A,5,28,2,2,2017,FALSE,FALSE,2
2016-10-05,16:11:00,2016-10-05T16:11:00Z,WL103.00,WL,O,W,E,A,A,15,32,1.9,<2,2016,TRUE,FALSE,2
2016-08-08,15:55:00,2016-08-08T15:55:00Z,WL103.00,WL,O,NW,H,A,A,22,30,1.9,<2,2016,TRUE,FALSE,2
2016-06-27,14:28:00,2016-06-27T14:28:00Z,WL103.00,WL,O,S,F,A,A,17,30,1.9,<2,2016,TRUE,FALSE,2
2016-05-11,13:31:00,2016-05-11T13:31:00Z,WL103.00,WL,O,N,F,A,A,12,26,1.9,<2,2016,TRUE,FALSE,2
2016-04-04,12:49:00,2016-04-04T12:49:00Z,WL103.00,WL,O,CL,E,A,A,2,24,1.9,<2,2016,TRUE,FALSE,2
2016-03-15,13:09:00,2016-03-15T13:09:00Z,WL103.00,WL,O,E,F,A,A,5,28,2,2,2016,FALSE,FALSE,2
2015-12-10,10:11:00,2015-12-10T10:11:00Z,WL103.00,WL,O,E,H,A,A,6,30,1.9,<2,2015,TRUE,FALSE,2
2015-09-16,13:57:00,2015-09-16T13:57:00Z,WL103.00,WL,O,SW,H,A,A,17,30,1.9,<2,2015,TRUE,FALSE,2
2015-07-22,17:23:00,2015-07-22T17:23:00Z,WL103.00,WL,O,E,HE,A,A,19,30,2,2,2015,FALSE,FALSE,2
2015-06-08,17:13:00,2015-06-08T17:13:00Z,WL103.00,WL,O,W,HE,A,A,10,28,6,6,2015,FALSE,FALSE,6
