"SDate","STime","SDateTime","Station","GROW_AREA","OpenClosed","WDIR","Tide","Class","CATEGORY","Temp","FLOOD","Sal","ColiScore","RawColi","DELIVERY_TEMP_C","YEAR","LCFlag","RCFlag","ColiVal"
2019-08-26,10:31:00,2019-08-26 10:31:00,"WL103.00","WL","O",,"E","A","A",18,,31,1.9,"<2",4,2019,TRUE,FALSE,2
2019-08-05,14:47:00,2019-08-05 14:47:00,"WL103.00","WL","O",,"H","A","A",20,,32,6,"6",4,2019,FALSE,FALSE,6
2019-07-24,18:50:00,2019-07-24 18:50:00,"WL103.00","WL","O",,"E","A","A",23,,31,44,"44",6,2019,FALSE,FALSE,44
2019-06-12,10:34:00,2019-06-12 10:34:00,"WL103.00","WL","O",,"E","A","A",18,,25,1.9,"<2",8,2019,TRUE,FALSE,2
2019-05-13,17:16:00,2019-05-13 17:16:00,"WL103.00","WL","O",,"F","A","A",9,,32,1.9,"<2",3,2019,TRUE,FALSE,2
2019-04-02,12:15:00,2019-04-02 12:15:00,"WL103.00","WL","O",,"E","A","A",3,,28,1.9,"<2",3,2019,TRUE,FALSE,2
2018-08-20,09:10:00,2018-08-20 09:10:00,"WL103.00","WL","O","CL","E","A","A",17,,29,1.9,"<2",6,2018,TRUE,FALSE,2
2018-08-01,17:39:00,2018-08-01 17:39:00,"WL103.00","WL","O","CL","E","A","A",16,,33,1.9,"<2",7,2018,TRUE,FALSE,2
2018-06-18,16:48:00,2018-06-18 16:48:00,"WL103.00","WL","O","E","HE","A","A",13,,32,1.9,"<2",3,2018,TRUE,FALSE,2
2018-05-08,18:16:00,2018-05-08 18:16:00,"WL103.00","WL","O","SW","H","A","A",10,,24,1.9,"<2",3,2018,TRUE,FALSE,2
2018-04-24,09:40:00,2018-04-24 09:40:00,"WL103.00","WL","O","S","E","A","A",7,,29,1.9,"<2",4,2018,TRUE,FALSE,2
2018-04-09,09:20:00,2018-04-09 09:20:00,"WL103.00","WL","O","NW","E","A","A",3,,28,1.9,"<2",4,2018,TRUE,FALSE,2
2017-12-18,13:40:00,2017-12-18 13:40:00,"WL103.00","WL","O","S","E","A","A",-1,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2017-11-29,10:43:00,2017-11-29 10:43:00,"WL103.00","WL","O","SW","E","A","A",5,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2017-08-22,12:35:00,2017-08-22 12:35:00,"WL103.00","WL","O","SW","HE","A","A",17,,33,1.9,"<2",4,2017,TRUE,FALSE,2
2017-07-24,15:22:00,2017-07-24 15:22:00,"WL103.00","WL","O","CL","E","A","A",12,,30,1.9,"<2",4,2017,TRUE,FALSE,2
2017-06-13,15:49:00,2017-06-13 15:49:00,"WL103.00","WL","O","CL","HE","A","A",20,,28,1.9,"<2",2,2017,TRUE,FALSE,2
2017-04-05,08:22:00,2017-04-05 08:22:00,"WL103.00","WL","O","CL","E","A","A",5,,28,2,"2",,2017,FALSE,FALSE,2
2016-10-05,16:11:00,2016-10-05 16:11:00,"WL103.00","WL","O","W","E","A","A",15,,32,1.9,"<2",2,2016,TRUE,FALSE,2
2016-08-08,15:55:00,2016-08-08 15:55:00,"WL103.00","WL","O","NW","H","A","A",22,,30,1.9,"<2",6,2016,TRUE,FALSE,2
2016-06-27,14:28:00,2016-06-27 14:28:00,"WL103.00","WL","O","S","F","A","A",17,,30,1.9,"<2",5,2016,TRUE,FALSE,2
