"Station","Lat","Long"
"EA001.00",44.38102,-68.819
"EA003.50",44.39975,-68.78742
"EA004.00",44.39819,-68.80233
"EA005.00",44.40432,-68.77372
"EA006.00",44.42723,-68.76133
"EA007.00",44.43439,-68.74319
"EA009.00",44.45716,-68.7261
"EA010.00",44.4602099996664,-68.732880000457
"EA011.00",44.46635,-68.73827
"EA012.00",44.46831,-68.72565
"EA013.00",44.46509,-68.7198
"EA014.00",44.46276,-68.70902
"EA014.90",44.45429,-68.70865
"EA015.00",44.45335,-68.7059
"EA015.50",44.4504,-68.71303
"EA017.00",44.43913,-68.72585
"EA019.00",44.39861,-68.70459
"EA019.10",44.39571,-68.70422
"EA019.20",44.39496,-68.68445
"EA019.23",44.39402,-68.68329
"EA019.27",44.39183,-68.68483
"EA019.38",44.38422,-68.67565
"EA019.39",44.38414,-68.67237
"EA019.42",44.3814,-68.67388
"EA021.00",44.41073,-68.7417
"EA023.00",44.40209,-68.76265
"EA024.00",44.38972,-68.77994
"EA026.00",44.372,-68.76232
"EA027.00",44.36436,-68.76016
"EA028.00",44.35819,-68.76603
"EA029.00",44.37066,-68.78504
"EA031.00",44.37041,-68.78777
"EB001.00",44.31098,-68.80242
"EB002.00",44.32037,-68.78891
"EB003.00",44.32615,-68.77225
"EB004.00",44.34989,-68.74952
"EB004.50",44.3328,-68.74487
"EB008.60",44.3204999999602,-68.7228900006058
"EB009.00",44.31999,-68.71939
"EB010.00",44.314,-68.70818
"EB012.00",44.30142,-68.67871
"EB013.00",44.29742,-68.67437
"EB014.50",44.28594,-68.63112
"EB015.00",44.29533,-68.62935
"EB015.80",44.30333,-68.61375
"EB016.00",44.30411,-68.61136
"EB016.50",44.29502,-68.61931
"EB018.50",44.26346,-68.58779
"EB019.00",44.26276,-68.58038
"EB020.00",44.24937,-68.56398
"EB022.00",44.2288,-68.53445
"EC001.00",44.28997,-68.69125
"EC001.50",44.28593,-68.68814
"EC002.00",44.28236,-68.68642
"EC003.80",44.27983,-68.71964
"EC004.00",44.2808,-68.71861
"EC005.00",44.28938,-68.72525
"EC006.10",44.3068,-68.73078
"EC007.00",44.27725,-68.67887
"EC009.00",44.23612,-68.62642
"EC010.00",44.21549,-68.64676
"EC012.00",44.19927,-68.57091
"EC013.00",44.19065,-68.57266
"EC014.00",44.18864,-68.58031
"EC016.00",44.21163,-68.626
"EC017.00",44.21861,-68.65034
"EC017.50",44.21619,-68.6576
"EC017.70",44.21366,-68.66825
"EC017.80",44.2157200002201,-68.6725400002045
"EC018.00",44.20834,-68.68152
"EC019.00",44.1977,-68.66327
"EC019.70",44.19148,-68.65681
"EC020.00",44.18894,-68.65985
"EC021.00",44.18082,-68.6278
"EC021.90",44.17285,-68.64063
"EC022.00",44.1743,-68.64267
"EC022.30",44.17655,-68.65113
"EC022.40",44.17433,-68.65075
"EC023.50",44.15891,-68.64137
"EC026.20",44.15125,-68.68209
"EC026.70",44.15462,-68.69099
"EC026.90",44.16249,-68.69836
"EC027.00",44.16364,-68.69364
"EC027.40",44.1661,-68.69812
"EC027.80",44.17987,-68.69975
"EC028.00",44.18381,-68.69764
"EC028.40",44.17936,-68.70685
"EC031.00",44.21288,-68.71751
"EC033.00",44.22401,-68.68117
"ED001.50",44.02873,-68.64972
"ED002.00",44.05581,-68.64508
"ED002.50",44.04896,-68.65569
"ED003.00",44.06516,-68.65
"ED003.70",44.07367,-68.63978
"ED004.40",44.08602,-68.62657
"ED004.60",44.08731,-68.61561
"ED005.10",44.07623,-68.60235
"ED007.00",44.02288,-68.61828
"EE001.00",44.16284,-68.4402
"EE001.20",44.1644199996588,-68.4385500002206
"EE001.50",44.1666399998156,-68.4357999997546
"EE001.80",44.1721799999197,-68.4269100001383
"EE002.00",44.17334,-68.42182
"EE003.00",44.18212,-68.4229
"EE006.40",44.13861,-68.43558
"EE006.80",44.14161,-68.44166
"EE007.00",44.14271,-68.43667
"EE008.00",44.15196,-68.44282
"EE009.00",44.15642,-68.44302
"EE009.30",44.15268,-68.44955
"EE009.50",44.14449,-68.4489
"EE009.70",44.13868,-68.45006
"EE010.00",44.15069,-68.45267
"EE011.00",44.16028,-68.45641
"EE011.30",44.16021,-68.46091
"EE011.40",44.16115,-68.46339
"EE013.00",44.16128,-68.4743
"EE015.00",44.17702,-68.46903
"EE016.50",44.17658,-68.4477
"EE017.00",44.16068,-68.45525
"EE019.00",44.11926,-68.36457
"EF001.90",44.2731,-68.5568
"EF002.00",44.27648,-68.55488
"EF002.50",44.26163,-68.5286
"EF004.00",44.27898,-68.52868
"EF004.10",44.28179,-68.5299
"EF005.00",44.29124,-68.54503
"EF006.00",44.30971,-68.56411
"EF008.00",44.3536,-68.54649
"EF009.00",44.37398,-68.55946
"EF009.30",44.35586,-68.56688
"EF009.70",44.3359,-68.58234
"EF010.00",44.33438,-68.58826
"EF010.50",44.34427,-68.58333
"EF011.00",44.35451,-68.5822
"EF011.30",44.35363,-68.57805
"EF012.00",44.36213,-68.5743
"EF012.10",44.36152,-68.57236
"EF013.00",44.37789,-68.56163
"EF014.00",44.38499,-68.56658
"EF015.00",44.39276,-68.56696
"EF016.00",44.39683,-68.56879
"EF016.50",44.40345,-68.56453
"EF017.80",44.40885,-68.57438
"EF018.00",44.4136,-68.57272
"EF019.00",44.40367,-68.55324
"EF020.00",44.3994,-68.52788
"EF020.50",44.40932,-68.52016
"EF022.00",44.4158000002179,-68.5217099998381
"EF023.00",44.41556,-68.51503
"EF024.00",44.43279,-68.49599
"EF024.90",44.45559,-68.48118
"EF025.00",44.45405,-68.4803
"EF026.00",44.40954,-68.47482
"EG002.00",44.402,-68.46176
"EG004.00",44.44094,-68.47037
"EG005.00",44.46267,-68.46433
"EG007.00",44.4891,-68.4775
"EG007.50",44.48983,-68.49217
"EG008.50",44.494,-68.4855
"EG009.00",44.49349,-68.46731
"EG011.00",44.48408,-68.44926
"EG013.00",44.47079,-68.42552
"EG014.00",44.46197,-68.42776
"EG016.00",44.43695,-68.42618
