OBJECTID,Station,Lat,Long,Grow_Area,land_1000,land_500,land_100,imperv_1000,imperv_500,imperv_100,pct_100,pct_500,pct_1000,pct_l_100,pct_l_500,pct_l_1000
1,WI010.70,43.707650000000001,-70.244810000000001,WI,73985,12784,535,194974,3441,0,0.0000000,0.4381221,6.2062206,0.0000000,1.0766584,10.5412722
2,WI010.80,43.697550000000000,-70.244640000000004,WI,38449,13154,524,209187,91456,3276,10.4278402,11.6445494,6.6586347,25.0076332,27.8108559,21.7625427
3,WI015.00,43.706040000000002,-70.217489999999998,WI,45527,13199,572,82356,34606,3321,10.5710802,4.4061766,2.6214752,23.2237759,10.4874611,7.2357941
4,WI017.00,43.712110000000003,-70.218519999999998,WI,61744,20546,790,136065,48191,1490,4.7428212,6.1358738,4.3310871,7.5443039,9.3820696,8.8147840
5,WI017.50,43.716720000000002,-70.217010000000002,WI,55902,6780,328,141570,13065,0,0.0000000,1.6634889,4.5063167,0.0000000,7.7079644,10.1298704
6,WI019.00,43.715389999999999,-70.219340000000003,WI,68589,14924,823,187281,28192,1672,5.3221459,3.5895200,5.9613442,8.1263666,7.5561514,10.9219265
7,WI020.00,43.721080000000001,-70.221670000000003,WI,89221,20694,481,380491,58202,1185,3.7719753,7.4105148,12.1114149,9.8544703,11.2500238,17.0583611
8,WI025.00,43.732480000000002,-70.204470000000001,WI,60694,14087,288,293078,85385,2619,8.3365431,10.8715649,9.3289700,36.3750000,24.2450485,19.3151226
9,WI026.00,43.736190000000001,-70.202219999999997,WI,69445,18302,965,285169,99688,4664,14.8459854,12.6926813,9.0772190,19.3326416,21.7873459,16.4256039
10,WI027.00,43.740819999999999,-70.196340000000006,WI,60255,16961,872,234516,50711,2150,6.8436685,6.4567304,7.4648824,9.8623857,11.9594364,15.5682354
11,WI028.50,43.755220000000001,-70.197599999999994,WI,75490,17514,440,239641,45003,394,1.2541420,5.7299647,7.6280165,3.5818181,10.2781773,12.6978941
12,WI029.00,43.758189999999999,-70.195769999999996,WI,63578,15127,649,190197,64902,992,3.1576366,8.2635860,6.0541635,6.1140218,17.1618958,11.9662151
13,WI030.00,43.768169999999998,-70.195300000000003,WI,82164,20049,610,310469,49670,1191,3.7910740,6.3241863,9.8825436,7.8098359,9.9097214,15.1146002
14,WI033.00,43.775500000000001,-70.181600000000003,WI,84873,15246,485,228271,55446,2915,9.2787409,7.0596099,7.2660975,24.0412369,14.5470285,10.7582388
15,WI034.10,43.762869999999999,-70.178780000000003,WI,20853,6766,573,57176,25482,2110,6.7163444,3.2444718,1.8199701,14.7294941,15.0647354,10.9674387
16,WI036.00,43.762129999999999,-70.172489999999996,WI,24742,8838,276,66957,28983,983,3.1289887,3.6902332,2.1313093,14.2463770,13.1174479,10.8248320
17,WI038.00,43.771709999999999,-70.165400000000005,WI,75243,20579,661,157293,43551,1258,4.0043416,5.5450902,5.0067959,7.6127081,8.4651346,8.3618679
18,WI040.00,43.775069999999999,-70.153099999999995,WI,45985,9742,339,120974,48043,1071,3.4091017,6.1170301,3.8507252,12.6371679,19.7261333,10.5229101
19,WI041.00,43.781399999999998,-70.153070000000000,WI,74083,18381,752,168005,39399,2188,6.9646263,5.0164409,5.3477697,11.6382980,8.5738535,9.0711765
20,WI048.00,43.790689999999998,-70.150400000000005,WI,66170,18714,687,109155,28246,1024,3.2594960,3.5963955,3.4745145,5.9621544,6.0374050,6.5984583
21,WI051.00,43.812170000000002,-70.153490000000005,WI,116209,26692,918,245385,69641,8962,28.5269566,8.8669748,7.8108540,39.0501099,10.4362354,8.4463339
22,WI051.50,43.812030000000000,-70.154629999999997,WI,116099,27084,1120,253031,77727,12837,40.8614731,9.8965178,8.0542336,45.8464279,11.4793978,8.7177668
23,WI053.00,43.806640000000002,-70.153220000000005,WI,112898,24729,723,224204,10700,5814,18.5065517,1.3623675,7.1366410,32.1659737,1.7307614,7.9435949
24,WI054.00,43.796950000000002,-70.150400000000005,WI,83053,17829,582,111377,31711,923,2.9380028,4.0375733,3.5452430,6.3436427,7.1144762,5.3641410
25,WI055.00,43.797829999999998,-70.139129999999994,WI,69876,17408,848,69702,20481,2092,6.6590486,2.6077242,2.2186854,9.8679247,4.7061119,3.9900396
26,WI055.20,43.801259999999999,-70.138400000000004,WI,94389,28111,955,99383,32119,726,2.3109317,4.0895214,3.1634619,3.0408378,4.5703106,4.2116346
27,WI055.50,43.795520000000003,-70.136650000000003,WI,51196,10588,442,60211,16139,0,0.0000000,2.0548830,1.9165772,0.0000000,6.0970912,4.7043519
28,WI056.00,43.798780000000001,-70.127200000000002,WI,66268,17984,760,84936,36753,2356,7.4993873,4.6795411,2.7035992,12.3999996,8.1745996,5.1268182
29,WI056.70,43.807330000000000,-70.107470000000006,WI,23822,4751,529,40513,6032,625,1.9894384,0.7680187,1.2895700,4.7258978,5.0785098,6.8026195
30,WI058.50,43.773769999999999,-70.145550000000000,WI,36366,5719,315,99537,18210,3031,9.6479807,2.3185711,3.1683638,38.4888878,12.7364922,10.9483585
31,WI058.80,43.773290000000003,-70.132009999999994,WI,30359,9265,514,80446,25604,2354,7.4930210,3.2600052,2.5606778,18.3190670,11.0540743,10.5992947
32,WI061.00,43.771290000000000,-70.125489999999999,WI,21707,3798,462,48368,12165,1479,4.7078071,1.5488973,1.5396025,12.8051949,12.8120060,8.9128857
33,WI062.00,43.772599999999997,-70.127560000000003,WI,20796,6079,480,56874,17981,1357,4.3194690,2.2894139,1.8103572,11.3083334,11.8315516,10.9394112
34,WI063.00,43.765169999999998,-70.134720000000002,WI,75647,17221,676,157223,43396,2247,7.1524291,5.5253549,5.0045676,13.2958584,10.0797863,8.3135090
35,WI064.00,43.758620000000001,-70.137270000000001,WI,76562,19830,417,162879,47363,1425,4.5359197,6.0304494,5.1846042,13.6690645,9.5538073,8.5096521
36,WI065.50,43.761539999999997,-70.122190000000003,WI,30696,15785,855,25856,4265,381,1.2127616,0.5430371,0.8230227,1.7824562,1.0807729,3.3692989
37,WI069.00,43.751919999999998,-70.139790000000005,WI,52937,10415,523,129778,26353,3104,9.8803473,3.3553710,4.1309657,23.7399616,10.1211710,9.8062229
38,WI071.00,43.748660000000001,-70.151219999999995,WI,37658,13168,753,120032,57747,447,1.4228464,7.3525825,3.8207405,2.3745019,17.5416164,12.7496948
39,WI074.00,43.756869999999999,-70.150679999999994,WI,56432,16869,821,172661,26022,1057,3.3645384,3.3132267,5.4959750,5.1498175,6.1703715,12.2385168
40,WI077.00,43.751840000000001,-70.108189999999993,WI,58831,11618,69,77138,19715,1716,5.4622021,2.5101938,2.4553809,99.4782639,6.7877431,5.2447181
41,WI083.00,43.724299999999999,-70.139420000000001,WI,42420,11970,,45849,13082,0,0.0000000,1.6656533,1.4594202,,4.3715959,4.3233380
42,WI088.00,43.718000000000004,-70.125680000000003,WI,71281,19100,122,90027,35537,0,0.0000000,4.5247154,2.8656509,0.0000000,7.4423037,5.0519495
43,WI089.00,43.715949999999999,-70.126540000000006,WI,56736,12820,338,74807,20982,1789,5.6945686,2.6715136,2.3811827,21.1715984,6.5466456,5.2740412
