date,station,AWND,AWNDattr,FMTM,FMTMattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WESD,WESDattr,WSF2,WSF2attr,WT01,WT01attr,WT07,WT07attr,WT08,WT08attr,WT13,WT13attr,WT16,WT16attr,PGTM,PGTMattr,WDF5,WDF5attr,WSF5,WSF5attr,WT02,WT02attr,WT09,WT09attr,WT05,WT05attr,WT03,WT03attr,WT14,WT14attr,WT18,WT18attr,WT17,WT17attr,WT19,WT19attr,WT11,WT11attr,WT22,WT22attr,WT04,WT04attr,WT06,WT06attr,TAVG,TAVGattr
1/1/2015,,36,",,W,",,,0,",,W,2400",0,",,W,",0,",,W,2400",0,",,W,2400",-77,",,W,2400",230,",,W,",,,89,",,W,",,,,,,,,,,,,,220,",,W,",121,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-50,"H,,S,"
1/2/2015,,51,",,W,",,,0,",,W,2400",0,",,W,",0,",,W,2400",33,",,W,2400",-55,",,W,2400",290,",,W,",,,130,",,W,",,,,,,,,,,,,,280,",,W,",170,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-7,"H,,S,"
1/3/2015,,30,",,W,",,,104,",,W,2400",79,",,W,",0,",,W,2400",11,",,W,2400",-99,",,W,2400",130,",,W,",,,76,",,W,",1,",,W,",,,,,,,,,,,130,",,W,",103,",,W,",,,,,,,,,,,,,,,,,,,,,1,",,W,",,,-62,"H,,S,"
1/4/2015,,30,",,W,",,,119,",,W,2400",33,",,W,",100,",,W,2400",17,",,W,2400",-49,",,W,2400",340,",,W,",,,67,",,W,",1,",,W,",,,,,,,,,,,350,",,W,",85,",,W,",1,",,W,",,,,,,,,,,,,,,,,,,,1,",,W,",1,",,W,",-24,"H,,S,"
1/5/2015,,93,",,W,",,,0,"T,,W,2400",0,"T,,W,",100,",,W,2400",50,",,W,2400",-127,",,W,2400",290,",,W,",,,174,",,W,",1,",,W,",,,,,,,,,,,280,",,W,",228,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,5,"H,,S,"
1/6/2015,,17,",,W,",,,0,",,W,2400",0,",,W,",100,",,W,2400",-82,",,W,2400",-160,",,W,2400",300,",,W,",,,67,",,W,",,,,,,,,,,,,,300,",,W,",85,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-112,"H,,S,"
1/7/2015,,43,",,W,",,,0,"T,,W,2400",0,"T,,W,",100,",,W,2400",-38,",,W,2400",-171,",,W,2400",310,",,W,",,,116,",,W,",,,,,1,",,W,",,,,,,,300,",,W,",143,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-106,"H,,S,"
1/8/2015,,30,",,W,",,,0,",,W,2400",0,"T,,W,",80,",,W,2400",-82,",,W,2400",-227,",,W,2400",240,",,W,",,,72,",,W,",,,,,,,,,,,,,240,",,W,",112,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-164,"H,,S,"
1/9/2015,,48,",,W,",,,13,",,W,2400",10,",,W,",80,",,W,2400",-16,",,W,2400",-82,",,W,2400",200,",,W,",,,103,",,W,",1,",,W,",,,1,",,W,",,,,,,,210,",,W,",148,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-60,"H,,S,"
1/10/2015,,37,",,W,",,,0,",,W,2400",0,",,W,",80,",,W,2400",-43,",,W,2400",-121,",,W,2400",290,",,W,",,,98,",,W,",,,,,,,,,,,,,290,",,W,",125,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-71,"H,,S,"
1/11/2015,,27,",,W,",,,0,",,W,2400",0,",,W,",80,",,W,2400",-32,",,W,2400",-138,",,W,2400",220,",,W,",,,54,",,W,",,,,,,,,,,,,,220,",,W,",67,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-88,"H,,S,"
1/12/2015,,12,",,W,",,,53,",,W,2400",71,",,W,",100,",,W,2400",6,",,W,2400",-43,",,W,2400",330,",,W,",,,45,",,W,",1,",,W,",,,1,",,W,",,,,,,,350,",,W,",67,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-26,"H,,S,"
1/13/2015,,42,",,W,",,,0,",,W,2400",0,",,W,",150,",,W,2400",-5,",,W,2400",-182,",,W,2400",330,",,W,",,,112,",,W,",,,,,,,,,,,,,330,",,W,",152,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-60,"H,,S,"
1/14/2015,,21,",,W,",,,0,",,W,2400",0,",,W,",150,",,W,2400",-43,",,W,2400",-210,",,W,2400",350,",,W,",,,36,",,W,",1,",,W,",,,1,",,W,",,,,,,,360,",,W,",40,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-130,"H,,S,"
1/15/2015,,31,",,W,",,,8,",,W,2400",10,",,W,",150,",,W,2400",-16,",,W,2400",-66,",,W,2400",360,",,W,",,,54,",,W,",1,",,W,",,,1,",,W,",,,,,,,350,",,W,",67,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-37,"H,,S,"
1/16/2015,,55,",,W,",,,0,"T,,W,2400",0,"T,,W,",150,",,W,2400",33,",,W,2400",-143,",,W,2400",290,",,W,",,,157,",,W,",1,",,W,",,,,,,,,,,,300,",,W,",192,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-36,"H,,S,"
1/17/2015,,21,",,W,",,,0,"T,,W,2400",0,"T,,W,",150,",,W,2400",-66,",,W,2400",-188,",,W,2400",300,",,W,",,,67,",,W,",,,,,,,,,,,,,300,",,W,",81,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-123,"H,,S,"
1/18/2015,,32,",,W,",,,64,",,W,2400",0,",,W,",130,",,W,2400",94,",,W,2400",-88,",,W,2400",140,",,W,",,,125,",,W,",1,",,W,",,,1,",,W,",,,,,,,140,",,W,",179,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-37,"H,,S,"
1/19/2015,,52,",,W,",,,28,",,W,2400",0,",,W,",80,",,W,2400",94,",,W,2400",17,",,W,2400",140,",,W,",,,112,",,W,",1,",,W,",,,,,,,,,,,150,",,W,",161,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,65,"H,,S,"
1/20/2015,,50,",,W,",,,0,",,W,2400",0,",,W,",50,",,W,2400",22,",,W,2400",-60,",,W,2400",260,",,W,",,,94,",,W,",,,,,,,,,,,,,280,",,W,",125,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,4,"H,,S,"
1/21/2015,,11,",,W,",,,0,",,W,2400",0,",,W,",50,",,W,2400",-5,",,W,2400",-110,",,W,2400",350,",,W,",,,40,",,W,",,,,,,,,,,,,,340,",,W,",49,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-51,"H,,S,"
1/22/2015,,17,",,W,",,,0,",,W,2400",0,",,W,",50,",,W,2400",33,",,W,2400",-60,",,W,2400",360,",,W,",,,45,",,W,",,,,,,,,,,,,,360,",,W,",58,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-28,"H,,S,"
1/23/2015,,30,",,W,",,,0,",,W,2400",0,",,W,",30,",,W,2400",17,",,W,2400",-82,",,W,2400",250,",,W,",,,58,",,W,",,,,,1,",,W,",,,,,,,300,",,W,",81,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-34,"H,,S,"
1/24/2015,,34,",,W,",,,69,",,W,2400",84,",,W,",30,",,W,2400",0,",,W,2400",-38,",,W,2400",330,",,W,",,,81,",,W,",1,",,W,",,,1,",,W,",,,,,,,340,",,W,",107,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-17,"H,,S,"
1/25/2015,,55,",,W,",,,0,",,W,2400",0,"T,,W,",130,",,W,2400",28,",,W,2400",-116,",,W,2400",290,",,W,",,,103,",,W,",,,,,,,,,,,,,330,",,W,",130,",,W,",,,,,,,,,,,,,,,,,,,,,,,,,-5,"H,,S,"
